"Publication","Author Count"
"A note on the paper by Murat Cenk and Ferruh Ozbudak ""Multiplication of polynomials modulo xn"", Theoret. Comput. Sci. 412(2011) 3451-3462.","1"
"On the distribution of integer points on curves of genus zero.","1"
"Concerning the Semantic Consequence Relation in First-Order Temporal Logic.","1"
"On the Role of Memory in Object-Based and Object-Oriented Languages.","1"
"On the complexity of working set selection.","1"
"Fixed Point Characterization of Infinite Behavior of Finite-State Systems.","1"
"Linear multi-objective drift analysis.","1"
"Euclidean chains and their shortcuts.","1"
"On the structure of minimum broadcast digraphs.","1"
"Completions of Perpetual Logic Programs.","1"
"Simulation of Turing Machines by a Regular Rewrite Rule.","1"
"Structural Operational Semantics for Weak Bisimulations.","1"
"A Theory for Nondeterminism, Parallelism, Communication, and Concurrency.","1"
"Relation-Algebraic Semantics.","1"
"Degrees of Parallelism in the Continuous Type Hierarchy.","1"
"Swept regions and surfaces: Modeling and volumetric properties.","1"
"On Polynomials with Symmetric Galois Group which Are Easy to Compute.","1"
"Robust Algorithms: A Different Approach to Oracles.","1"
"The Complexity of Evaluating Interpolation Polynomials.","1"
"On Greibach Normal Form Construction.","1"
"On the Hurwitz Product of Formal Power Series and Automata.","1"
"Nonterminal complexity of programmed grammars.","1"
"Three concepts of decidability for general subsets of uncountable spaces.","1"
"Probabilistic Analysis of Some (Un)Directed Animals.","1"
"Convexity and global optimization: a theoretical link.","1"
"The Complexitiy of Logical Theories.","1"
"Unbordered Factors of Characteristic Sequences of Irrational Numbers.","1"
"On the Inference of Optimal Descriptions.","1"
"Towards categorical models for fairness: fully abstract presheaf semantics of SCCS with finite delay.","1"
"Quantitative program logic and expected time bounds in probabilistic distributed algorithms.","1"
"Application of Max-Plus algebra to biological sequence comparisons.","1"
"Constrained pseudorandom functions from functional encryption.","1"
"A Logic for Rewriting Strategies.","1"
"A Fully Abstract Semantics for a Higher-Order Functional Language with Nondeterministic Computation.","1"
"Comments on ""On the Balance Property of Patricia Tries: External Path Length Viewpoint"".","1"
"Interaction-Free Multivalued Dependency Sets.","1"
"On the Linearity of On-Line Computable Functions.","1"
"Analytical aspects of tie breaking.","1"
"Universal pattern generation by cellular automata.","1"
"Reachability and recurrence in a modular generalization of annihilating random walks (and lights-out games) to hypergraphs.","1"
"Approximation of sets based on partial covering.","1"
"Standard Automata and Semidirect Products of Transformation Semigroups.","1"
"Principal Types of BCK-lambda-Terms.","1"
"The Zig-Zag Power Series: A Two-Way Version of the * Operator.","1"
"On Real Time One-Way Cellular Array.","1"
"Dépendance de systèmes de numération associés à des puissances d'un nombre de Pisot.","1"
"Combinatory Differential Fields.","1"
"Maximum scan statistics and channel assignment problems in homogeneous wireless networks.","1"
"Approximate String Matching with q-grams and Maximal Matches.","1"
"On Some Decision Questions Concerning Pushdown Machines.","1"
"On the variance of the internal path length of generalized digital trees - The Mellin convolution approach.","1"
"Preemptive multiprocessor scheduling with rejection.","1"
"The dual of concatenation.","1"
"What does it mean to say that a physical system implements a computation?","1"
"Improved bounds about on-line learning of smooth-functions of a single variable.","1"
"A construction method for optimally universal hash families and its consequences for the existence of RBIBDs.","1"
"Pebble Games for Studying Storage Sharing.","1"
"Factorization Forests of Finite Height.","1"
"Confluence by Decreasing Diagrams.","1"
"Left Termination Turned into Termination.","1"
"An optimal algorithm to generate rooted trivalent diagrams and rooted triangular maps.","1"
"Query learning of bounded-width OBDDs.","1"
"Using bigraphs to model topological graphs embedded in orientable surfaces.","1"
"P, NP, Co-NP and Weak Systems of Arithmetic.","1"
"On two-way communication in cellular automata with a fixed number of cells.","1"
"Program Development in Constructive Type Theory.","1"
"The Complexity of Presburger Arithmetic with Bounded Quantifier Alternation Depth.","1"
"Mechanizing Structural Induction Part II: Strategies.","1"
"Confluence of extensional and non-extensional lambda-calculi with explicit substitutions.","1"
"Morphism axioms.","1"
"Decidability of the halting problem for Matiyasevich deterministic machines.","1"
"Higher Order Dataflow Schemas.","1"
"Repeated Snapshots in Distributed Systems with Synchronous Communications and their Implementation in CSP.","1"
