"Author","Publication"
"A note on the paper by Murat Cenk and Ferruh Ozbudak ""Multiplication of polynomials modulo xn"", Theoret. Comput. Sci. 412(2011) 3451-3462.","1"
"On the distribution of integer points on curves of genus zero.","1"
"Concerning the Semantic Consequence Relation in First-Order Temporal Logic.","1"
"On the Role of Memory in Object-Based and Object-Oriented Languages.","1"
"On the complexity of working set selection.","1"
"Fixed Point Characterization of Infinite Behavior of Finite-State Systems.","1"
"Linear multi-objective drift analysis.","1"
"Euclidean chains and their shortcuts.","1"
"On the structure of minimum broadcast digraphs.","1"
"Completions of Perpetual Logic Programs.","1"
"Simulation of Turing Machines by a Regular Rewrite Rule.","1"
"Structural Operational Semantics for Weak Bisimulations.","1"
"A Theory for Nondeterminism, Parallelism, Communication, and Concurrency.","1"
"Relation-Algebraic Semantics.","1"
"Degrees of Parallelism in the Continuous Type Hierarchy.","1"
"Swept regions and surfaces: Modeling and volumetric properties.","1"
"On Polynomials with Symmetric Galois Group which Are Easy to Compute.","1"
"Robust Algorithms: A Different Approach to Oracles.","1"
"The Complexity of Evaluating Interpolation Polynomials.","1"
"On Greibach Normal Form Construction.","1"
"On the Hurwitz Product of Formal Power Series and Automata.","1"
"Nonterminal complexity of programmed grammars.","1"
"Three concepts of decidability for general subsets of uncountable spaces.","1"
"Probabilistic Analysis of Some (Un)Directed Animals.","1"
"Convexity and global optimization: a theoretical link.","1"
"The Complexitiy of Logical Theories.","1"
