"Author","Publication"
"Offline and online algorithms for single-minded selling problem.","[Yong Zhang 0001, Francis Y. L. Chin, Sheung-Hung Poon, Hing-Fung Ting, Dachuan Xu, Dongxiao Yu]"
"k-Capture in multiagent pursuit evasion, or the lion and the hyenas.","[Shaunak Dattaprasad Bopardikar, Subhash Suri]"
"Optimal Algorithms for Computing the canonical form of a circular string.","[Costas S. Iliopoulos, William F. Smyth]"
"On the directional dynamics of additive cellular automata.","[Alberto Dennunzio, Pietro di Lena, Enrico Formenti, Luciano Margara]"
"Special issue - Implementation and Application of Automata (CIAA 2017).","[Arnaud Carayol, Cyril Nicaud]"
"Transforming Normal Logic Programs to Constraint Logic Programs.","[Kanchana Kanchanasut, Peter J. Stuckey]"
"Perfect Roman domination in graphs.","[S. Banerjee, J. Mark Keil, Dinabandhu Pradhan]"
"Thin discrete triangular meshes.","[Reneta P. Barneva, Valentin E. Brimkov, Philippe Nehlig]"
"Clifford gates in the Holant framework.","[Jin-Yi Cai, Heng Guo 0001, Tyson Williams]"
"Towards 'up to context' reasoning about higher-order processes.","[Adrien Durier, Daniel Hirschkoff, Davide Sangiorgi]"
"Classifying Molecular Sequences Using a Linkage Graph With Their Pairwise Similarities.","[Hideo Matsuda, T. Ishihara, Akihiro Hashimoto]"
"Improved local algorithms for spanner construction.","[Iyad A. Kanj, Ge Xia]"
"The Decomposition of Stochastic Systems.","[Taiho Kanaoka, Shingo Tomita]"
"Reconstruction of convex polyominoes with a blocking component.","[Stefano Brocchi, Paolo Dulio, Silvia M. C. Pagani]"
"Minimal counterexamples for linear-time probabilistic verification.","[Ralf Wimmer 0001, Nils Jansen 0001, Erika Ábrahám, Joost-Pieter Katoen, Bernd Becker 0001]"
"Counting in one-hop beeping networks.","[Arnaud Casteigts, Yves Métivier, J. M. Robson, Akka Zemmari]"
"Tissue P systems.","[Carlos Martín-Vide, Gheorghe Paun, Juan Pazos, Alfonso Rodríguez-Patón]"
"Fast arithmetic with general Gauß periods.","[Joachim von zur Gathen, Michael Nöcker]"
"Computational Complexity of Loss Networks.","[Graham Louth, Michael Mitzenmacher, Frank Kelly]"
"The 3-server problem in the plane.","[Wolfgang W. Bein, Marek Chrobak, Lawrence L. Larmore]"
"The NP-Completeness of Steiner Tree and Dominating Set for Chordal Bipartite Graphs.","[Haiko Müller, Andreas Brandstädt]"
"Safe reasoning with Logic LTS.","[Gerald Lüttgen, Walter Vogler]"
"Towards optimal packed string matching.","[Oren Ben-Kiki, Philip Bille, Dany Breslauer, Leszek Gasieniec, Roberto Grossi, Oren Weimann]"
"Finite generating sets for reversible gate sets under general conservation laws.","[Tim Boykett, Jarkko Kari, Ville Salo]"
"Pareto optimization scheduling of family jobs on a p-batch machine to minimize makespan and maximum lateness.","[Zhichao Geng, Jinjiang Yuan]"
"On learning unions of pattern languages and tree patterns in the mistake bound model.","[Sally A. Goldman, Stephen Kwek]"
"Design, optimization and predictions of a coupled model of the cell cycle, circadian clock, DNA repair system, irinotecan metabolism and exposure control under temporal logic constraints.","[Elisabetta De Maria, François Fages, Aurélien Rizk, Sylvain Soliman]"
"An Augmented Voronoi Roadmap for 3D Translational Motion Planning for a Convex Polyhedron Moving Amidst Convex Polyhedral Obstacles.","[Abhi Dattasharma, S. Sathiya Keerthi]"
"Term satisfiability in FLew-algebras.","[Zuzana Haniková, Petr Savický]"
"Using abstract interpretation to add type checking for interfaces in Java bytecode verification.","[Nicoletta De Francesco, Giuseppe Lettieri, Luca Martini]"
"Characterizing and recognizing probe block graphs.","[Van Bang Le, Sheng-Lung Peng]"
"On the Consistency of Koomen's Fair Abstraction Rule.","[Jos C. M. Baeten, Jan A. Bergstra, Jan Willem Klop]"
"Linearisability on datalog programs.","[Foto N. Afrati, Manolis Gergatsoulis, Francesca Toni]"
"Compatibility Problems in the Development of Algebraic Module Specifications.","[Hartmut Ehrig, Werner Fey, Horst Hansen, Michael Löwe, Dean Jacobs, Francesco Parisi-Presicce]"
"Weighted tree automata and weighted logics.","[Manfred Droste, Heiko Vogler]"
