"Author","Years Published"
"Dongxiao Yu","No Consecutive Publishing"
"Subhash Suri","No Consecutive Publishing"
"William F. Smyth","No Consecutive Publishing"
"Luciano Margara","No Consecutive Publishing"
"Cyril Nicaud","No Consecutive Publishing"
"Peter J. Stuckey","No Consecutive Publishing"
"Dinabandhu Pradhan","No Consecutive Publishing"
"Philippe Nehlig","No Consecutive Publishing"
"Tyson Williams","No Consecutive Publishing"
"Davide Sangiorgi","No Consecutive Publishing"
"Akihiro Hashimoto","No Consecutive Publishing"
"Ge Xia","No Consecutive Publishing"
"Shingo Tomita","No Consecutive Publishing"
"Victor Y. Pan","No Consecutive Publishing"
"Joseph H. Silverman","No Consecutive Publishing"
"Andrzej Szalas","No Consecutive Publishing"
"Eric G. Wagner","No Consecutive Publishing"
"Silvia M. C. Pagani","No Consecutive Publishing"
"Bernd Becker 0001","No Consecutive Publishing"
"Hans Ulrich Simon","No Consecutive Publishing"
"Akka Zemmari","No Consecutive Publishing"
"Damian Niwinski","No Consecutive Publishing"
"Alfonso Rodríguez-Patón","No Consecutive Publishing"
"Jonathan E. Rowe","No Consecutive Publishing"
"Michael Nöcker","No Consecutive Publishing"
"Frank Kelly","No Consecutive Publishing"
"Lawrence L. Larmore","No Consecutive Publishing"
"Andreas Brandstädt","No Consecutive Publishing"
"Boting Yang","No Consecutive Publishing"
"Guillaume Fertin","No Consecutive Publishing"
"Walter Vogler","No Consecutive Publishing"
"Oren Weimann","No Consecutive Publishing"
"Ville Salo","No Consecutive Publishing"
"Jinjiang Yuan","No Consecutive Publishing"
"Stephen Kwek","No Consecutive Publishing"
"Sylvain Soliman","No Consecutive Publishing"
"S. Sathiya Keerthi","No Consecutive Publishing"
"Petr Savický","No Consecutive Publishing"
"James Hein","No Consecutive Publishing"
"Luca Martini","No Consecutive Publishing"
"Sheng-Lung Peng","No Consecutive Publishing"
"Max Dauchet","No Consecutive Publishing"
"Jan Willem Klop","No Consecutive Publishing"
"Francesca Toni","No Consecutive Publishing"
"Bard Bloom","No Consecutive Publishing"
"Francesco Parisi-Presicce","No Consecutive Publishing"
"Manfred Broy","No Consecutive Publishing"
"Heiko Vogler","No Consecutive Publishing"
"The Hung Tran","No Consecutive Publishing"
"Roger D. Maddux","No Consecutive Publishing"
"Alain Tapp","No Consecutive Publishing"
"Jaroslaw Kutylowski","No Consecutive Publishing"
"Anastasios Sidiropoulos","No Consecutive Publishing"
"Antonio Bucciarelli","No Consecutive Publishing"
"Shuming Zhou","No Consecutive Publishing"
"John Staples","No Consecutive Publishing"
"Scott Aaronson","No Consecutive Publishing"
"Burkhard Monien","No Consecutive Publishing"
"James N. Damon","No Consecutive Publishing"
"Joos Heintz","No Consecutive Publishing"
"Maurice Nivat","No Consecutive Publishing"
"P. Sharifani","No Consecutive Publishing"
"John V. Tucker","No Consecutive Publishing"
"Keisuke Tanaka","No Consecutive Publishing"
"Roger Wattenhofer","No Consecutive Publishing"
"Jean-François Raskin","No Consecutive Publishing"
"Jiangxu Kong","No Consecutive Publishing"
"Stefano Leonardi","No Consecutive Publishing"
"Uwe Schöning","No Consecutive Publishing"
"Guohui Lin","No Consecutive Publishing"
"Hans-Jörg Stoß","No Consecutive Publishing"
