"Venue","Author","counts"
"reference/crypt/Bleumer05w","Gerrit Bleumer","6"
"reference/crypt/Biryukov11d","Alex Biryukov","6"
"reference/crypt/Bleumer05s","Gerrit Bleumer","7"
"reference/crypt/Bleumer05s","Gerrit Bleumer","8"
"reference/crypt/Bleumer11j","Gerrit Bleumer","9"
"reference/crypt/Bleumer11j","Gerrit Bleumer","10"
"reference/crypt/Bleumer11o","Gerrit Bleumer","11"
"reference/crypt/Bleumer11o","Gerrit Bleumer","12"
"reference/crypt/Bleumer05h","Gerrit Bleumer","13"
"reference/crypt/Bleumer05h","Gerrit Bleumer","14"
"reference/crypt/Soete11h","Marijke De Soete","6"
"reference/crypt/Bleumer11l","Gerrit Bleumer","15"
"reference/crypt/Bleumer11l","Gerrit Bleumer","16"
"reference/crypt/Bleumer05x","Gerrit Bleumer","17"
"reference/crypt/Bleumer05x","Gerrit Bleumer","18"
"reference/crypt/Kaliski11v","Burt Kaliski","6"
"reference/crypt/Kaliski11l","Burt Kaliski","7"
"reference/crypt/Kaliski11l","Burt Kaliski","8"
"reference/crypt/Adams05b","Carlisle Adams","6"
"reference/crypt/Adams05b","Carlisle Adams","7"
"reference/crypt/Desmedt05c","Yvo Desmedt","6"
"reference/crypt/Desmedt11b","Yvo Desmedt","7"
"reference/crypt/Desmedt11b","Yvo Desmedt","8"
"reference/crypt/Bleumer05v","Gerrit Bleumer","19"
"reference/crypt/Bleumer05v","Gerrit Bleumer","20"
"reference/crypt/Moller11d","Bodo Mller","6"
"reference/crypt/Preneel11p","Bart Preneel","6"
"reference/crypt/Biryukov05c","Alex Biryukov","7"
"reference/crypt/Biryukov05c","Alex Biryukov","8"
"reference/crypt/Biryukov11l","Alex Biryukov","9"
"reference/crypt/Biryukov11l","Alex Biryukov","10"
"reference/crypt/Bleumer11s","Gerrit Bleumer","21"
"reference/crypt/Bleumer11s","Gerrit Bleumer","22"
"reference/crypt/Adams05u","Carlisle Adams","8"
"reference/crypt/Adams05u","Carlisle Adams","9"
"reference/crypt/Biryukov11g","Alex Biryukov","11"
"reference/crypt/Biryukov11g","Alex Biryukov","12"
"reference/crypt/Biryukov11j","Alex Biryukov","13"
"reference/crypt/Biryukov11j","Alex Biryukov","14"
"reference/crypt/Biryukov11v","Alex Biryukov","15"
"reference/crypt/Biryukov11v","Alex Biryukov","16"
"reference/crypt/Biryukov05v","Alex Biryukov","17"
"reference/crypt/Biryukov05v","Alex Biryukov","18"
"reference/crypt/Kaliski11x","Burt Kaliski","9"
"reference/crypt/Kaliski11x","Burt Kaliski","10"
"reference/crypt/Bleumer05b","Gerrit Bleumer","23"
"reference/crypt/Bleumer05b","Gerrit Bleumer","24"
"reference/crypt/Kaliski05xf","Burton S. Kaliski Jr.","6"
